candidate_id,year,role,n,MAE,RMSE,bias,Spearman,role_MAE_degradation_pct
RECENCY_7,2024,MID,135,5.4482,6.5907,-1.0016,0.1746,
RECENCY_7,2024,BOT,135,5.8344,6.9418,-0.7795,0.0279,
RECENCY_7,2024,SUP,135,5.2175,6.4213,-1.8102,0.1555,
RECENCY_7,2025,TOP,170,4.7662,5.9215,-0.6093,0.2668,
RECENCY_7,2025,JGL,167,5.0091,6.2216,-1.0794,0.2294,
RECENCY_7,2025,MID,168,5.9722,7.7088,-0.7792,0.1653,
RECENCY_7,2025,BOT,167,5.8784,7.3002,-1.5259,0.289,
RECENCY_7,2025,SUP,166,6.083,7.3115,-2.6446,0.2989,
RECENCY_7,pooled,TOP,305,4.5583,5.7075,0.0181,0.1884,-0.09
RECENCY_7,pooled,JGL,302,4.8252,5.9295,-0.9027,0.2354,-0.68
RECENCY_7,pooled,MID,303,5.7388,7.232,-0.8783,0.1705,-0.43
RECENCY_7,pooled,BOT,302,5.8587,7.1422,-1.1922,0.1722,0.17
RECENCY_7,pooled,SUP,301,5.6948,6.9264,-2.2704,0.247,-0.52
RECENCY_10,2024,TOP,135,4.3523,5.4435,0.7429,0.0532,
RECENCY_10,2024,JGL,135,4.6302,5.585,-0.6973,0.2022,
RECENCY_10,2024,MID,135,5.4088,6.571,-0.912,0.2195,
RECENCY_10,2024,BOT,135,5.8861,6.9719,-0.656,0.0141,
RECENCY_10,2024,SUP,135,5.269,6.465,-1.6787,0.0937,
RECENCY_10,2025,TOP,170,4.743,5.8578,-0.6105,0.2958,
RECENCY_10,2025,JGL,167,5.0117,6.1991,-1.1333,0.2359,
RECENCY_10,2025,MID,168,5.9505,7.6751,-0.7532,0.1884,
RECENCY_10,2025,BOT,167,5.8492,7.2431,-1.4588,0.2941,
RECENCY_10,2025,SUP,166,5.9842,7.2066,-2.4671,0.3124,
RECENCY_10,pooled,TOP,305,4.5701,5.6781,-0.0114,0.1991,0.17
RECENCY_10,pooled,JGL,302,4.8412,5.9325,-0.9384,0.2243,-0.35
RECENCY_10,pooled,MID,303,5.7091,7.2041,-0.824,0.2067,-0.94
RECENCY_10,pooled,BOT,302,5.8657,7.1231,-1.0999,0.1715,0.29
RECENCY_10,pooled,SUP,301,5.6634,6.8839,-2.1135,0.2333,-1.07
RECENCY_15_SENSITIVITY,2024,TOP,135,4.3012,5.3753,0.8059,0.126,
RECENCY_15_SENSITIVITY,2024,JGL,135,4.6459,5.578,-0.7108,0.2142,
RECENCY_15_SENSITIVITY,2024,MID,135,5.3203,6.5129,-0.8424,0.2694,
RECENCY_15_SENSITIVITY,2024,BOT,135,5.8317,6.8555,-0.5165,0.1118,
RECENCY_15_SENSITIVITY,2024,SUP,135,5.2468,6.4241,-1.6716,0.0975,
RECENCY_15_SENSITIVITY,2025,TOP,170,4.6986,5.7919,-0.5779,0.3161,
RECENCY_15_SENSITIVITY,2025,JGL,167,5.019,6.1961,-1.1738,0.2586,
RECENCY_15_SENSITIVITY,2025,MID,168,5.8901,7.5586,-0.6813,0.3014,
RECENCY_15_SENSITIVITY,2025,BOT,167,5.7368,7.1365,-1.4036,0.3561,
RECENCY_15_SENSITIVITY,2025,SUP,166,5.8885,7.1109,-2.4946,0.3914,
RECENCY_15_SENSITIVITY,pooled,TOP,305,4.5227,5.6113,0.0346,0.2465,-0.87
RECENCY_15_SENSITIVITY,pooled,JGL,302,4.8522,5.9277,-0.9668,0.2458,-0.13
RECENCY_15_SENSITIVITY,pooled,MID,303,5.6362,7.1117,-0.7531,0.2896,-2.21
RECENCY_15_SENSITIVITY,pooled,BOT,302,5.7793,7.0123,-1.007,0.2549,-1.19
RECENCY_15_SENSITIVITY,pooled,SUP,301,5.6007,6.8115,-2.1254,0.2982,-2.17
RECENCY_EWMA_H2,2024,TOP,135,4.2562,5.4022,0.8169,0.1072,
RECENCY_EWMA_H2,2024,JGL,135,4.5913,5.5735,-0.7166,0.2297,
RECENCY_EWMA_H2,2024,MID,135,5.4293,6.6148,-0.9938,0.1829,
RECENCY_EWMA_H2,2024,BOT,135,5.8324,6.9327,-0.8617,0.0531,
RECENCY_EWMA_H2,2024,SUP,135,5.2314,6.4331,-1.8704,0.1345,
RECENCY_EWMA_H2,2025,TOP,170,4.7572,5.9244,-0.6407,0.2397,
RECENCY_EWMA_H2,2025,JGL,167,4.9955,6.2244,-1.105,0.2409,
RECENCY_EWMA_H2,2025,MID,168,6.0082,7.7307,-0.829,0.1231,
RECENCY_EWMA_H2,2025,BOT,167,5.8928,7.3228,-1.5941,0.2808,
RECENCY_EWMA_H2,2025,SUP,166,6.0903,7.3273,-2.7451,0.3304,
RECENCY_EWMA_H2,pooled,TOP,305,4.5354,5.6992,0.0045,0.1828,-0.59
RECENCY_EWMA_H2,pooled,JGL,302,4.8149,5.9423,-0.9314,0.2348,-0.9
RECENCY_EWMA_H2,pooled,MID,303,5.7503,7.2547,-0.9024,0.1444,-0.23
RECENCY_EWMA_H2,pooled,BOT,302,5.8658,7.1511,-1.2667,0.1812,0.29
RECENCY_EWMA_H2,pooled,SUP,301,5.7051,6.9405,-2.3528,0.2593,-0.35
RECENCY_EWMA_H4,2024,TOP,135,4.2781,5.396,0.7765,0.1091,
RECENCY_EWMA_H4,2024,JGL,135,4.5905,5.5491,-0.7002,0.2362,
RECENCY_EWMA_H4,2024,MID,135,5.366,6.5522,-0.9055,0.2117,
RECENCY_EWMA_H4,2024,BOT,135,5.8353,6.9097,-0.6846,0.0718,
RECENCY_EWMA_H4,2024,SUP,135,5.2162,6.4099,-1.7352,0.1294,
RECENCY_EWMA_H4,2025,TOP,170,4.7419,5.874,-0.6315,0.2808,
RECENCY_EWMA_H4,2025,JGL,167,4.9897,6.2023,-1.1302,0.2454,
RECENCY_EWMA_H4,2025,MID,168,5.98,7.685,-0.7699,0.1812,
RECENCY_EWMA_H4,2025,BOT,167,5.8144,7.2273,-1.4872,0.3193,
RECENCY_EWMA_H4,2025,SUP,166,5.9793,7.198,-2.5651,0.358,
RECENCY_EWMA_H4,pooled,TOP,305,4.5366,5.6674,-0.0083,0.2156,-0.57
RECENCY_EWMA_H4,pooled,JGL,302,4.8113,5.9192,-0.938,0.2434,-0.97
RECENCY_EWMA_H4,pooled,MID,303,5.7065,7.2023,-0.8303,0.1973,-0.99
RECENCY_EWMA_H4,pooled,BOT,302,5.8237,7.0871,-1.1285,0.2117,-0.43
RECENCY_EWMA_H4,pooled,SUP,301,5.637,6.8557,-2.1929,0.2775,-1.53
RECENCY_EWMA_H6,2024,TOP,135,4.2894,5.3901,0.7741,0.1229,
RECENCY_EWMA_H6,2024,JGL,135,4.6033,5.5492,-0.6986,0.2324,
RECENCY_EWMA_H6,2024,MID,135,5.3426,6.5315,-0.8733,0.2307,
RECENCY_EWMA_H6,2024,BOT,135,5.8356,6.8949,-0.6136,0.0789,
RECENCY_EWMA_H6,2024,SUP,135,5.2218,6.4076,-1.6948,0.1265,
RECENCY_EWMA_H6,2025,TOP,170,4.7295,5.8465,-0.6174,0.2966,
RECENCY_EWMA_H6,2025,JGL,167,4.9936,6.1965,-1.1426,0.2499,
RECENCY_EWMA_H6,2025,MID,168,5.9561,7.6499,-0.7378,0.2142,
RECENCY_EWMA_H6,2025,BOT,167,5.7842,7.1896,-1.4458,0.3362,
RECENCY_EWMA_H6,2025,SUP,166,5.9359,7.1549,-2.5128,0.3701,
RECENCY_EWMA_H6,pooled,TOP,305,4.5347,5.6491,-0.0015,0.2316,-0.61
RECENCY_EWMA_H6,pooled,JGL,302,4.8191,5.9159,-0.9441,0.2457,-0.81
RECENCY_EWMA_H6,pooled,MID,303,5.6828,7.1732,-0.7982,0.2284,-1.4
RECENCY_EWMA_H6,pooled,BOT,302,5.8072,7.0594,-1.0738,0.2263,-0.71
RECENCY_EWMA_H6,pooled,SUP,301,5.6156,6.8299,-2.1459,0.2874,-1.91
